validation,year,probability_bin,n_clusters,examined,positive,mean_pred,mean_obs,se_obs,lower,upper
Spatial block 5-fold cross-validation,2007,"[0,0.1]",9,58,11,0.07023642390754398,0.1896551724137931,0.05147582090425587,0.08876256344145159,0.2905477813861346
Spatial block 5-fold cross-validation,2007,"(0.1,0.2]",32,203,9,0.15119508828232311,0.04433497536945813,0.014447012974451801,0.0160188299395326,0.07265112079938366
Spatial block 5-fold cross-validation,2007,"(0.2,0.3]",46,379,57,0.2533040194424,0.1503957783641161,0.018361432004671753,0.11440737163495947,0.18638418509327276
Spatial block 5-fold cross-validation,2007,"(0.3,0.4]",32,241,56,0.35884951364842366,0.23236514522821577,0.02720534976918009,0.1790426596806228,0.2856876307758088
Spatial block 5-fold cross-validation,2007,"(0.4,0.5]",59,440,187,0.44440453463501345,0.425,0.023566877758259094,0.3788089195938122,0.4711910804061878
Spatial block 5-fold cross-validation,2007,"(0.5,0.6]",61,620,338,0.5472494489837211,0.5451612903225806,0.01999840549516465,0.505964415552058,0.5843581650931033
Spatial block 5-fold cross-validation,2007,"(0.6,0.7]",64,730,407,0.6433658535492434,0.5575342465753425,0.018382906386656014,0.5215037500574966,0.5935647430931883
Spatial block 5-fold cross-validation,2007,"(0.7,0.8]",31,314,235,0.736826913038496,0.7484076433121019,0.02448798241228971,0.7004111977840141,0.79640408884018965
Spatial block 5-fold cross-validation,2007,"(0.8,0.9]",4,52,37,0.8451167704091028,0.7115384615384616,0.0628262988922542,0.5883989157096433,0.8346780073672798
Spatial block 5-fold cross-validation,2007,"(0.9,1]",1,9,8,0.9022192670151179,0.8888888888888888,0.10475656017578484,0.6835660309443505,1
Spatial block 5-fold cross-validation,2011,"[0,0.1]",95,555,8,0.07523514748820775,0.014414414414414415,0.00505940192874451,0.004497986634075175,0.024330842194753656
Spatial block 5-fold cross-validation,2011,"(0.1,0.2]",83,587,92,0.15293938836598728,0.1567291311754685,0.015005116141498168,0.12731910353813208,0.1861391588128049
Spatial block 5-fold cross-validation,2011,"(0.2,0.3]",97,792,208,0.254873340266096,0.26262626262626265,0.01563688775276124,0.23197796263085063,0.2932745626216747
Spatial block 5-fold cross-validation,2011,"(0.3,0.4]",98,880,291,0.3527587796092435,0.3306818181818182,0.015859158284216936,0.299597867944753,0.36176576841888336
Spatial block 5-fold cross-validation,2011,"(0.4,0.5]",105,989,440,0.4523207028378461,0.4448938321536906,0.01580221888226228,0.41392148314445654,0.4758661811629247
Spatial block 5-fold cross-validation,2011,"(0.5,0.6]",79,697,379,0.5404362911648753,0.5437589670014347,0.01886618104928653,0.506781252144833,0.5807366818580363
Spatial block 5-fold cross-validation,2011,"(0.6,0.7]",34,292,189,0.6375893524084739,0.6472602739726028,0.027962451077079446,0.592453869861527,0.7020666780836785
Spatial block 5-fold cross-validation,2011,"(0.7,0.8]",11,114,56,0.7351102554714901,0.49122807017543857,0.04682208330076898,0.39945678690593134,0.5829993534449458
Spatial block 5-fold cross-validation,2011,"(0.8,0.9]",1,7,5,0.8014249614821524,0.7142857142857143,0.17074694419062766,0.3796217036720841,1
Spatial block 5-fold cross-validation,2015,"[0,0.1]",50,546,21,0.06722189982403277,0.038461538461538464,0.00823000947136371,0.022330719897665594,0.054592357025411334
Spatial block 5-fold cross-validation,2015,"(0.1,0.2]",44,604,71,0.15263957236998793,0.11754966887417219,0.01310501043038013,0.09186384843062714,0.14323548931771724
Spatial block 5-fold cross-validation,2015,"(0.2,0.3]",53,778,163,0.2531911484717087,0.2095115681233933,0.01459022416958009,0.18091472875101633,0.23810840749577028
Spatial block 5-fold cross-validation,2015,"(0.3,0.4]",44,688,241,0.352522374785146,0.3502906976744186,0.018187777201483308,0.31464265435951133,0.3859387409893259
Spatial block 5-fold cross-validation,2015,"(0.4,0.5]",51,831,388,0.4471187160204894,0.46690734055354993,0.017306776699436005,0.43298605822265535,0.5008286228844445
Spatial block 5-fold cross-validation,2015,"(0.5,0.6]",43,741,411,0.5450210279272054,0.5546558704453441,0.018257889272385086,0.5188704074714694,0.5904413334192189
Spatial block 5-fold cross-validation,2015,"(0.6,0.7]",15,211,85,0.6376667329897503,0.4028436018957346,0.033765334189462606,0.3366635468843879,0.4690236569070813
Spatial block 5-fold cross-validation,2015,"(0.7,0.8]",4,77,34,0.747874518053584,0.44155844155844154,0.05658972696534215,0.3306425767063709,0.5524743064105122
Spatial block 5-fold cross-validation,2018,"[0,0.1]",35,491,5,0.06428081358523988,0.010183299389002037,0.004530862666441203,0.0013028085627772804,0.019063790215226792
Spatial block 5-fold cross-validation,2018,"(0.1,0.2]",34,618,82,0.15124013037587591,0.13268608414239483,0.013646039008100562,0.10593984768651772,0.15943232059827192
Spatial block 5-fold cross-validation,2018,"(0.2,0.3]",28,541,155,0.24833119748165655,0.28650646950092423,0.01943853826167329,0.24840693450804457,0.3246060044938039
Spatial block 5-fold cross-validation,2018,"(0.3,0.4]",39,815,272,0.35366880207493134,0.3337423312883436,0.01651763837286203,0.301367760077534,0.36611690249915313
Spatial block 5-fold cross-validation,2018,"(0.4,0.5]",38,777,322,0.44780480115217886,0.4144144144144144,0.017672667476278735,0.3797759861609081,0.4490528426679207
Spatial block 5-fold cross-validation,2018,"(0.5,0.6]",28,696,429,0.5366756855799354,0.6163793103448276,0.018431913233981762,0.5802527604062234,0.6525058602834318
Spatial block 5-fold cross-validation,2018,"(0.6,0.7]",15,319,172,0.6347324888696063,0.5391849529780565,0.027908523852699565,0.48448424622676534,0.5938856597293476
Spatial block 5-fold cross-validation,2018,"(0.7,0.8]",4,90,63,0.7335774854585294,0.7,0.048304589153964794,0.605323005258229,0.7946769947417709
Spatial block 5-fold cross-validation,2022,"[0,0.1]",117,518,24,0.05426517953490336,0.04633204633204633,0.009235798637709439,0.028229881002135828,0.06443421166195683
Spatial block 5-fold cross-validation,2022,"(0.1,0.2]",103,611,83,0.15456884570748564,0.13584288052373159,0.01386098814531493,0.10867534375891433,0.16301041728854884
Spatial block 5-fold cross-validation,2022,"(0.2,0.3]",118,890,238,0.2558699354875292,0.26741573033707866,0.014836356707194232,0.23833647119097798,0.29649498948317937
Spatial block 5-fold cross-validation,2022,"(0.3,0.4]",105,794,288,0.3428202755212215,0.36272040302267,0.017062424735396205,0.32927805054129344,0.39616275550404656
Spatial block 5-fold cross-validation,2022,"(0.4,0.5]",46,355,206,0.44102758977827095,0.5802816901408451,0.026192937991806452,0.5289435316769044,0.6316198486047857
Spatial block 5-fold cross-validation,2022,"(0.5,0.6]",13,87,52,0.529645064702748,0.5977011494252874,0.052572280336517195,0.4946594799657137,0.7007428188848611
Spatial block 5-fold cross-validation,2022,"(0.6,0.7]",2,22,5,0.6144526123880302,0.22727272727272727,0.08934606739851096,0.05215443517164578,0.4023910193738087
Spatial block 5-fold cross-validation,2022,"(0.7,0.8]",1,9,5,0.7407997189240583,0.5555555555555556,0.16563466499998442,0.23091161215558614,0.8801994989555251
Spatial block 5-fold cross-validation,2023,"[0,0.1]",8,50,9,0.06812017626110574,0.18,0.054332310828824504,0.07350867077550396,0.28649132922449605
Spatial block 5-fold cross-validation,2023,"(0.1,0.2]",9,77,21,0.13591634881552675,0.2727272727272727,0.05075368420355295,0.17325005168830893,0.3722044937662365
Spatial block 5-fold cross-validation,2023,"(0.2,0.3]",39,231,56,0.24912941524446433,0.24242424242424243,0.02819649122419609,0.1871591196248181,0.29768936522366674
Spatial block 5-fold cross-validation,2023,"(0.3,0.4]",22,171,48,0.3495681684375281,0.2807017543859649,0.03436204552035177,0.21335214516607542,0.34805136360585437
Spatial block 5-fold cross-validation,2023,"(0.4,0.5]",12,95,28,0.44056485322262295,0.29473684210526313,0.04677685392664335,0.20305420840904215,0.3864194758014841
Spatial block 5-fold cross-validation,2023,"(0.5,0.6]",4,28,5,0.5322500175612889,0.17857142857142858,0.07237888244444443,0.0367088189803175,0.3204340381625397
